1,1,0.0016638935108153079,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
48,2,0.07986688851913477,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
49,1,0.08153078202995008,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
49,2,0.08153078202995008,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
50,1,0.08319467554076539,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
50,2,0.08319467554076539,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Just refugees, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
51,1,0.08485856905158069,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
51,2,0.08485856905158069,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
52,1,0.08652246256239601,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
52,2,0.08652246256239601,Lab3@3,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
53,1,0.08818635607321132,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
53,2,0.08818635607321132,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
54,1,0.08985024958402663,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
54,2,0.08985024958402663,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
55,1,0.09151414309484193,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
55,2,0.09151414309484193,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
56,1,0.09317803660565724,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
56,2,0.09317803660565724,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
57,1,0.09484193011647254,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
57,2,0.09484193011647254,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Just people from the EU, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
58,1,0.09650582362728785,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
58,2,0.09650582362728785,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs legal])
59,1,0.09816971713810316,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
59,2,0.09816971713810316,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: No army, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
60,1,0.09983361064891846,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
60,2,0.09983361064891846,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
61,1,0.10149750415973377,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
61,2,0.10149750415973377,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
62,1,0.10316139767054909,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
62,2,0.10316139767054909,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
63,1,0.1048252911813644,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
63,2,0.1048252911813644,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
64,1,0.1064891846921797,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
64,2,0.1064891846921797,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
